image_path,label,split,label_encoded
data/raw/cifar-10/train/15958.png,cat,train,3
data/raw/cifar-10/train/29989.png,bird,train,2
data/raw/cifar-10/train/25174.png,truck,train,9
data/raw/cifar-10/train/38699.png,frog,train,6
data/raw/cifar-10/train/16045.png,ship,train,8
data/raw/cifar-10/train/26356.png,frog,train,6
data/raw/cifar-10/train/43192.png,ship,train,8
data/raw/cifar-10/train/1031.png,cat,train,3
data/raw/cifar-10/train/10444.png,ship,train,8
data/raw/cifar-10/train/4101.png,automobile,train,1
data/raw/cifar-10/train/30775.png,cat,train,3
data/raw/cifar-10/train/4378.png,frog,train,6
data/raw/cifar-10/train/42130.png,cat,train,3
data/raw/cifar-10/train/3796.png,cat,train,3
data/raw/cifar-10/train/43004.png,ship,train,8
data/raw/cifar-10/train/3784.png,frog,train,6
data/raw/cifar-10/train/42483.png,cat,train,3
data/raw/cifar-10/train/5400.png,dog,train,5
data/raw/cifar-10/train/27820.png,dog,train,5
data/raw/cifar-10/train/36174.png,bird,train,2
data/raw/cifar-10/train/9518.png,horse,train,7
data/raw/cifar-10/train/45358.png,airplane,train,0
data/raw/cifar-10/train/30717.png,automobile,train,1
data/raw/cifar-10/train/21879.png,airplane,train,0
data/raw/cifar-10/train/35735.png,bird,train,2
data/raw/cifar-10/train/47657.png,truck,train,9
data/raw/cifar-10/train/24136.png,cat,train,3
data/raw/cifar-10/train/39025.png,cat,train,3
data/raw/cifar-10/train/44631.png,airplane,train,0
data/raw/cifar-10/train/42361.png,horse,train,7
data/raw/cifar-10/train/10117.png,deer,train,4
data/raw/cifar-10/train/18405.png,deer,train,4
data/raw/cifar-10/train/10024.png,deer,train,4
data/raw/cifar-10/train/22121.png,horse,train,7
data/raw/cifar-10/train/44854.png,dog,train,5
data/raw/cifar-10/train/10540.png,deer,train,4
data/raw/cifar-10/train/30504.png,truck,train,9
data/raw/cifar-10/train/21583.png,deer,train,4
data/raw/cifar-10/train/41944.png,ship,train,8
data/raw/cifar-10/train/35230.png,cat,train,3
data/raw/cifar-10/train/20468.png,ship,train,8
data/raw/cifar-10/train/4336.png,truck,train,9
data/raw/cifar-10/train/26953.png,truck,train,9
data/raw/cifar-10/train/12712.png,bird,train,2
data/raw/cifar-10/train/17577.png,deer,train,4
data/raw/cifar-10/train/14815.png,bird,train,2
data/raw/cifar-10/train/43199.png,ship,train,8
data/raw/cifar-10/train/42609.png,horse,train,7
data/raw/cifar-10/train/28166.png,deer,train,4
data/raw/cifar-10/train/1606.png,automobile,train,1
data/raw/cifar-10/train/2726.png,deer,train,4
data/raw/cifar-10/train/31661.png,frog,train,6
data/raw/cifar-10/train/21436.png,frog,train,6
data/raw/cifar-10/train/44826.png,frog,train,6
data/raw/cifar-10/train/1075.png,cat,train,3
data/raw/cifar-10/train/7805.png,cat,train,3
data/raw/cifar-10/train/44453.png,dog,train,5
data/raw/cifar-10/train/12669.png,airplane,train,0
data/raw/cifar-10/train/35466.png,automobile,train,1
data/raw/cifar-10/train/35366.png,ship,train,8
data/raw/cifar-10/train/43523.png,truck,train,9
data/raw/cifar-10/train/43184.png,ship,train,8
data/raw/cifar-10/train/16113.png,deer,train,4
data/raw/cifar-10/train/37263.png,horse,train,7
data/raw/cifar-10/train/48007.png,dog,train,5
data/raw/cifar-10/train/36059.png,automobile,train,1
data/raw/cifar-10/train/12944.png,cat,train,3
data/raw/cifar-10/train/20464.png,automobile,train,1
data/raw/cifar-10/train/24295.png,automobile,train,1
data/raw/cifar-10/train/21281.png,automobile,train,1
data/raw/cifar-10/train/3543.png,truck,train,9
data/raw/cifar-10/train/8070.png,frog,train,6
data/raw/cifar-10/train/18270.png,bird,train,2
data/raw/cifar-10/train/16774.png,truck,train,9
data/raw/cifar-10/train/39184.png,truck,train,9
data/raw/cifar-10/train/27566.png,horse,train,7
data/raw/cifar-10/train/4719.png,ship,train,8
data/raw/cifar-10/train/32883.png,deer,train,4
data/raw/cifar-10/train/29226.png,airplane,train,0
data/raw/cifar-10/train/47944.png,airplane,train,0
data/raw/cifar-10/train/26496.png,airplane,train,0
data/raw/cifar-10/train/16560.png,airplane,train,0
data/raw/cifar-10/train/41952.png,cat,train,3
data/raw/cifar-10/train/8470.png,horse,train,7
data/raw/cifar-10/train/29393.png,dog,train,5
data/raw/cifar-10/train/34769.png,cat,train,3
data/raw/cifar-10/train/26959.png,dog,train,5
data/raw/cifar-10/train/7302.png,deer,train,4
data/raw/cifar-10/train/17015.png,automobile,train,1
data/raw/cifar-10/train/45523.png,bird,train,2
data/raw/cifar-10/train/46809.png,truck,train,9
data/raw/cifar-10/train/14768.png,ship,train,8
data/raw/cifar-10/train/428.png,automobile,train,1
data/raw/cifar-10/train/10714.png,airplane,train,0
data/raw/cifar-10/train/5738.png,horse,train,7
data/raw/cifar-10/train/30012.png,frog,train,6
data/raw/cifar-10/train/11361.png,truck,train,9
